title,description,url,folder,tags,created,cover,highlights
VIS Desktop,"Over the course of an investigation, it is sometimes helpful to sketch out a network of involved parties so that you can understand who is linked to what.",https://docs.alephdata.org/guide/vis-desktop,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://app.gitbook.com/share/space/thumbnail/-LnIWKL31dbPXLEZNv4I/page/-LnRaFCVtn5A4KruHPhd.png?color=%23982022&logo=https%3A%2F%2F2578324550-files.gitbook.io%2F~%2Ffiles%2Fv0%2Fb%2Fgitbook-legacy-files%2Fo%2Fspaces%252F-LnIWKL31dbPXLEZNv4I%252Favatar.png%3Fgeneration%3D1566917956412699%26alt%3Dmedia&theme=none,
TouchGraph.com,,https://www.touchgraph.com/seo,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
The Linking Open Data cloud diagram,The Linked Open Data Cloud Diagram,https://lod-cloud.net,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
Spatial.ly,,https://spatial.ly,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
Sentinel Visualiser,"Link Analysis, Data Visualization, Geospatial Mapping, and Social Network Analysis (SNA) with Sentinel Visualizer",https://www.fmsasg.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
ScribbleMaps,"Easily Create, Analyze, and Share Maps. Share with friends, embed maps on websites, and create images or pdf.",https://www.scribblemaps.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
RAWGraphs 2.0: a web app for data visualization,"Help us improve RAWGraphs, a free and open-source software to visualize data.",https://www.indiegogo.com/projects/rawgraphs-2-0-a-web-app-for-data-visualization#/,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://i.ytimg.com/vi/1X_asbYuAVA/maxresdefault.jpg,
Processing,A port of the Processing visualization language to JavaScript. - GitHub - processing-js/processing-js: A port of the Processing visualization language to JavaScript.,https://processingjs.org,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://opengraph.githubassets.com/c1ce76561658f4ca8ddb8a49bf2cc8f087514911984bdc8d444b0f7786898f24/processing-js/processing-js,
ORA-LITE: Software,,https://www.casos.cs.cmu.edu/projects/ora/software.php,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
MindMup 2.0 Preview,A quick preview of the new features coming up in MindMup 2.0.,https://www.youtube.com/watch?v=--v7ZfTHNJ8,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://i.ytimg.com/vi/--v7ZfTHNJ8/sddefault.jpg,
Map the Power with Oligrapher,,https://littlesis.org/oligrapher,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
Linkurio.us,"With Linkurious, discover the Next Generation FinCrime Investigation Solution to swiftly and precisely expose even the most complex Financial Crime schemes and networks.",https://linkurio.us,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://linkurious.com/assets/uploads/2022/03/Website-Banners_1200x627.png,
Leaflet,"Leaflet is a modern, lightweight open-source JavaScript library for mobile-friendly interactive maps.",https://leafletjs.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://leafletjs.com/docs/images/logo.png,
Graphika.com,"Graphika is the social media analytics firm trusted by Fortune 500 companies, human rights organizations, and universities to map and navigate complex social landscapes.   Graphika helps partners around the world to discover how communities form online and map the flow of influence and information within large-scale social networks.   Organizations rely on Graphika to educate about the global disinformation landscape, protect against coordinated and inauthentic online activity, monitor new digital threats and understand how to effectively reach online audiences through marketing channels.  The company was founded in 2013 by Dr. John Kelly, a pioneer in this field and source of expert testimony on foreign interference in the U.S. presidential election before the Senate Select Committee on Intelligence.",https://graphika.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://www.graphika.com/images/socialshare.png,
Google spreadsheet charts,Use Google Sheets to create and edit online spreadsheets. Get insights together with secure sharing in real-time and from any device.,https://www.google.com/google-d-s/spreadsheets,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",https://kstatic.googleusercontent.com/files/adf55cdf4c7f8fb38efbf8df6c2792660fbeff2d05be05f2ec8e9c265a179b51c64b9679d8aee00e09cad19ce419d90a2d999b82cea4200abbe78c73e6bfaacf,
GeoCommons,,https://geocommons.com,BOOKMRKS-MTHRFCKR / PROGAMMING-MTHRFCKR / Data Visualization,"Data Visualization, Tools","February 24, 2022 1:17 PM (UTC)",,
