title,description,url,folder,tags,created,cover,highlights
Data Fake Generator,"Data Fake Generator is a useful tool in creating data for Testing Purposes, you can generate millions of random data including identitys, credit card, and more",https://datafakegenerator.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Generators,"Generator, tools","February 24, 2022 1:17 PM (UTC)",https://datafakegenerator.com/images/logo-face.png,
DALL·E: Creating Images from Text,We’ve trained a neural network called DALL·E that creates images from text captions for a wide range of concepts expressible in natural language.,https://openai.com/blog/dall-e,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Generators,"Generator, tools","February 24, 2022 1:17 PM (UTC)",https://openai.com/content/images/2021/01/2x-no-mark-1.jpg,
"Cool Generator List - Name, Number, Word, Text, Font, Color, Credit Card Generator",,https://www.coolgenerator.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Generators,"Generator, tools","February 24, 2022 1:17 PM (UTC)",,
Chaoticshiny.com,,https://chaoticshiny.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Generators,"Generator, tools","February 24, 2022 1:17 PM (UTC)",,
BoredHumans.com - Fun AI Programs You Can Use Online,"Fun AI programs you can use online. AI games, fake people, computer generated art, machine learning demos, and more.",https://boredhumans.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Generators,"Generator, tools","February 24, 2022 1:17 PM (UTC)",,
This X Does Not Exist,"Using generative adversarial networks (GAN), we can learn how to create realistic-looking fake versions of almost anything, as shown by this collection of sites that have sprung up in the past month.",https://thisxdoesnotexist.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Generators,"Generator, tools","March 15, 2022 6:26 PM (UTC)",https://thisxdoesnotexist.com/img/thisxdoesnotexist.png,
Project Jupyter (Jupyter Notebook),"The Jupyter Notebook is a web-based interactive computing platform. The notebook combines live code, equations, narrative text, visualizations, interactive dashboards and other media.",https://jupyter.org,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",https://jupyter.org/assets/share.png,
Meta,"Miraheze is an open source project that offers free MediaWiki hosting, for everyone. Request your free wiki today!",https://miraheze.org,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",https://miraheze.org/images/Miraheze-Logo-1200px.png,
Melobytes.com - Music inspiration apps,,https://melobytes.com/en,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",https://dcxote2kf3ou4.cloudfront.net/1818599180193c104f9a4779444a1d84af00ccdf3e88788184db61eeffcae965/melobytes-default.png,
HTML Sanitizer Tool,Convert text containing special characters into proper HTML.,https://defuse.ca/html-sanitize.htm,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",,
"Free Online Proofreader: Grammar Check, Plagiarism Detection, and more","PaperRater uses Artificial Intelligence to improve your writing.  Includes grammar, plagiarism, and spelling check, along with word choice analysis and automated grading.",https://www.paperrater.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",,
Epoch Converter - Unix Timestamp Converter,Convert Unix Timestamps (and many other date formats) to regular dates.,https://www.epochconverter.com,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",https://www.epochconverter.com/img/epochconverter-og-img.png,
EPUB.to,"EPUB.to lets you convert EPUB to PDF,  Mobi, Kindle.  It can also do PDF to EPUB, has an EPUB API and much more.",https://epub.to,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",https://epub.to/static/epub.png,
Big Number Calculator,Calculate enormous mathematical equations from within your browser.,https://defuse.ca/big-number-calculator.htm,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",,
Best XML Viewer Online,"Online XML Viewer is secure tool to Visualize XML data in Tree View, Minify XML and Beautify XML.",https://jsonformatter.org/xml-viewer,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Misc,"misc, tools","February 24, 2022 1:17 PM (UTC)",https://jsonformatter.org/img/xml-viewer.png,
PiliApp,,https://www.piliapp.com/,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","December 22, 2022 1:27 PM (UTC)",https://up.raindrop.io/raindrop/thumbs/489/712/189/img.jpeg,
XMind - Mind Mapping Software,Boost efficiency both in work and life. Millions of people love it.,https://www.xmind.net/de,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://assets.xmind.net/www/assets/images/social-tag/homepage2022-share-card-en-7abce258df.png,
xBlog: How to Take Screenshots of Webpages from the Command Line - Boolean World,"There are many situations where you might want to take screenshots of a webpage. Sure, there are browser extensions that do the job, but if you have to take screenshots of many web pages for",https://www.booleanworld.com/take-screenshots-webpages-command-line,BOOKMRKS-MTHRFCKR / TOOLS-MTHRFCKR / Multiple,"Multi, tools","February 24, 2022 1:17 PM (UTC)",https://www.booleanworld.com/wp-content/uploads/2017/01/Screenshot_2017-01-16_22-33-40.png,
